mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,varieties
216.2978077,211.3963929,206.5330657,28.71561343,27.14462783,32.51048503,57.31940136,13.41312066,216.9238191,68.73498199,10.79149886,27.48420683,0
213.0137864,210.3114996,206.1067233,26.68885538,25.34405935,29.9952707,60.15822428,10.05024311,213.6137848,65.41003007,8.718945397,25.87890572,0
220.3697705,214.9398963,212.0483053,25.11497041,23.47249416,26.82303484,54.00761764,10.85119183,220.7634,68.84475519,7.483072078,24.35197259,0
211.1956222,211.0131398,204.7469009,31.13025616,28.37234436,35.24159677,61.3759847,11.41179094,212.8995285,60.73323339,11.90814118,28.79041075,0
200.7007742,215.8870572,218.1494107,30.88473411,25.35662151,27.6227562,94.35615636,21.85622675,218.6514406,5.134087627,10.35479399,26.76197765,0
218.2533585,216.9541538,213.9448107,24.43199657,22.37055943,25.44684904,58.56531198,7.137619612,219.3173973,62.72848402,6.088309354,22.71245199,0
215.570204,214.3398041,210.9825169,24.7083545,22.1604318,25.96217867,67.46968045,7.447001064,216.5987335,66.39486389,5.805095358,23.06309983,0
218.0766586,216.772954,213.5109273,23.52343166,21.53265435,25.05697661,61.63166642,6.917943671,218.839353,64.74276542,5.570534146,22.31414997,0
219.4010276,218.9032989,215.3835628,25.84032148,22.45557613,26.4423703,65.55213154,7.109652591,220.7467312,64.45943661,6.129746923,23.29170306,0
223.5752102,218.731151,216.3300179,24.49131708,23.02725823,26.18086154,50.20426119,9.14430343,223.7911353,68.64294897,5.54226688,24.01491223,0
224.2384539,219.230286,216.707211,25.53223064,24.85353362,28.86334872,76.9658609,9.716999413,224.4085187,77.22777776,10.06869047,25.16213974,0
225.0439038,220.952149,217.4589366,24.69722498,23.87927833,28.02939481,52.75406941,10.1376093,225.6609178,65.32648795,11.30222127,23.30276072,0
215.3884008,213.5802698,209.3569598,28.00235813,25.73372077,30.28398773,57.17676663,10.10147369,216.8642495,60.40248212,11.8290654,25.73493788,0
218.2848362,216.3295192,211.6868451,24.73010696,22.51328178,27.0131843,45.76200845,9.173599326,218.9454969,56.90365812,7.112947706,23.36868073,0
217.2489938,214.5007459,210.7116168,25.57582401,23.71678145,27.48330811,52.31460855,8.922118537,217.7072617,63.25667503,6.877286728,24.7696976,0
209.5791155,210.3139875,206.0442027,29.46963722,25.67756209,29.81041196,57.92256998,8.421778749,211.8887133,57.07179183,7.470324811,26.51506493,0
219.5409661,216.5679046,213.4973589,24.59732649,22.12396245,25.58849945,58.95224609,8.480362714,220.2210616,68.50866169,5.887248813,23.29920677,0
218.0525055,214.0818249,210.2319819,28.51817313,26.18713763,31.14206287,57.42090612,11.25608499,218.9405255,69.18543714,9.28881683,26.8089322,0
221.6401079,218.4973278,215.0672626,23.82723324,21.72037551,25.23188623,45.70459239,8.685249681,222.1381872,61.28241263,5.042822153,22.75189441,0
205.2828914,215.6599115,216.2925058,29.60426131,24.50183451,26.80476102,90.30755692,15.34595356,217.3506227,17.7324611,9.514744496,25.40964099,0
217.7761478,216.8674076,213.4944865,24.01065955,21.38597383,24.56519894,56.34571293,6.892862133,218.8578114,59.61281491,4.981667112,22.21932126,0
213.6567764,212.5563773,208.1872688,24.33240954,21.3480408,25.37982866,56.52581809,8.671567854,214.8091552,59.54813542,6.79399616,22.5558633,0
218.6374253,217.1290827,214.6095265,23.56722757,21.54509736,24.76216283,68.5441928,6.241428213,219.3514173,67.97528331,5.448067676,22.37381614,0
217.5157483,216.1575825,212.7673711,26.85279237,24.64124509,28.19393797,56.55305243,7.317079843,218.3587185,63.31835384,6.293098003,25.35006855,0
219.5945548,219.5944541,215.8978593,22.396624,20.1583865,24.01019233,51.72041673,6.400414042,220.8180254,56.41336512,6.831305729,20.42736689,0
211.7166943,212.9099961,209.9196153,29.91972292,26.35969701,31.3688091,74.67868103,7.226790384,214.405236,57.46534721,9.015108901,26.90073115,0
218.3043205,216.2126054,212.1936442,23.46746427,20.93263228,23.98730882,40.51191514,8.621845895,219.2248103,50.41034364,7.587081119,22.04614411,0
218.8095405,217.0056699,213.6000705,24.68530519,22.57091722,26.22931521,58.00970797,7.524059051,219.4795124,64.39272709,5.516344493,23.47057136,0
209.3699775,217.988117,221.7346152,28.84436578,23.40800383,25.04861805,100.7989501,15.17225732,221.947757,8.807957234,8.650341343,24.65662203,0
194.8749573,212.2293943,212.6771331,32.71477055,25.90177519,28.23745046,90.89995268,23.73671746,213.7353434,6.714584318,12.84676851,26.91564528,0
216.6785468,216.1033494,213.2475639,26.11071976,23.60302944,27.22255371,71.57846622,6.571509237,218.0191055,65.51985051,6.330130111,24.18261693,0
