,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,varieties
54,208.53692425019855,208.2061593719029,203.5356819028474,29.62472773274955,26.860281504186606,31.63124741004237,63.85528322708071,9.403697872370335,210.24577039593453,61.97525371290665,7.5837857862255404,27.532038996197606,6
55,212.2609105779524,211.0189771454614,206.62919049923866,24.867185174128558,22.512686308933425,26.91369795026973,60.18675786342391,8.806137409866066,213.3004264249199,62.53847972966433,6.861532312505364,23.183875598810232,6
56,211.01399533958795,210.52197868496148,205.198170937144,27.141372535338252,23.287288734583427,27.867865984032036,46.288980021656656,9.838709626869298,212.71233786890357,50.83012607397469,7.599164763648112,24.43960711607539,6
57,212.1661586196058,211.33434164725506,207.07836373057478,25.237478153395962,22.67644875280439,26.542281288273404,55.54062120228987,8.280194567241935,213.3494694681611,58.0942171628226,6.9508586685620335,23.337944202361264,6
58,212.56032976299406,211.13022767640885,206.32585535640598,27.95313216970714,24.798197243907257,29.469008130704164,49.554037712829896,9.82996573191955,213.86541256257064,57.241190928597064,7.800160632830528,25.97378374009535,6
59,214.28741366792636,213.2360315931811,209.62633972316195,26.0741005707703,23.478385158084333,27.1295147550262,60.77488250714604,7.698089482422189,215.41705774538957,62.37452433154321,6.06266054921621,24.246258781371637,6
60,209.0263497900822,207.78904916881763,201.9110273742004,29.396502414718707,25.655733380985065,31.3486965257569,52.412007182382446,11.510547685436972,210.44524440530967,59.30432217553047,8.792743292755086,26.805022436951024,6
61,208.473804104201,208.1139949242563,203.01686158569024,25.334136084742465,22.318900061417768,27.628220979431248,60.55670791798575,9.68588995578347,210.10589117675275,59.74850511355646,8.71017295210496,23.15470552256318,6
62,208.36831875773802,208.27417131447496,203.3368683504376,27.12120048686626,23.62917453890218,28.662577093906343,59.365186731442016,9.224646255695955,210.06108050626148,60.19870064318539,8.230649275172842,24.753662897131843,6
63,210.90178057135927,210.59611076865036,206.64973001741498,29.436226733855737,25.754693188997226,30.101162795983328,69.65757349151652,8.150888769869741,212.5595561708621,64.70867033661973,6.176951148983332,26.998479329569456,6
64,204.65453768873905,205.14098725154756,198.41657919807585,27.57631147977501,24.26661322098393,30.078134565997466,51.69744197916809,11.136919015444454,206.57003167044562,52.70487203015333,9.983021955902117,24.850689893534202,6
65,205.84232003438052,205.4679926304216,200.5089970947376,27.10740466366211,23.98912966600249,28.529526149094927,53.923435557537886,9.406498135236372,207.30791172232037,56.59989994918289,7.544334546584088,24.827205206998887,6
66,207.32566398297243,207.20414584490098,202.28788693781232,26.450865517443273,22.800263990487473,26.85672395847939,53.441910165648714,9.119178581343698,209.0984753840459,54.66779378166486,6.767986334949637,23.925092095958718,6
67,207.96891070251263,206.8461541279027,203.4121328107831,28.718787340295755,25.76231638114244,30.539950556514903,73.52782396894,8.562297633872976,209.3365138085122,66.15186062359209,7.086830624844324,26.87786999044414,6
68,209.64496863219563,209.49511754828612,203.60831128628132,28.41133533728168,24.238636212113462,30.445263725684026,57.688753989918176,10.827782612273628,211.62588531097288,59.768109724702875,9.732792771486904,25.297334842721735,6
69,204.83406975606522,204.77687338052752,199.53027644257324,27.55161057547438,24.015352634412483,28.866374795744747,56.5619668167917,9.711073483416286,206.52758902561806,56.53883191226773,7.851962831134722,25.127318955443908,6
70,209.88036233529382,209.6479663959101,205.70916495154947,29.3864267008262,25.439530798787388,30.435041855151887,70.61657792003281,8.366114655279754,211.64770638170086,64.74793294948758,6.894828552221128,26.688296718751587,6
